Age,Age_Group,Gender,Income,Total_Purchases,Total_Amount,High_Spender
35,31-40,Female,Medium,1,426.6513417,N
59,51-60,Male,Medium,9,2922.540725,Y
43,41-50,Male,Medium,3,599.4735038,N
26,19-30,Female,Medium,9,3482.858734,Y
35,31-40,Male,Medium,10,3634.813448,Y
48,41-50,Male,Low,1,104.8262263,N
18,19-30,Male,High,5,1445.583914,Y
49,41-50,Female,Medium,3,1282.784351,N
60,61+,Male,Low,4,734.8345331,N
20,19-30,Male,Medium,4,1864.88264,Y
35,31-40,Male,Low,6,638.8984086,N
33,31-40,Female,Medium,9,2803.001528,Y
62,61+,Female,Medium,4,418.0253491,N
19,19-30,Male,Medium,2,305.1473315,N
54,51-60,Male,Medium,3,728.5739184,N
50,51-60,Female,Low,3,1140.472953,N
26,19-30,Female,Low,1,377.6137689,N
58,51-60,Male,Medium,1,212.3024659,N
47,41-50,Female,Medium,9,1310.925059,N
35,31-40,Female,Low,1,275.7202207,N
25,19-30,Male,Low,10,2498.993538,Y
67,61+,Female,Medium,8,1772.302324,Y
65,61+,Male,Low,4,1912.436648,Y
65,61+,Male,Medium,3,1198.117871,N
30,31-40,Male,High,7,3217.776053,Y
32,31-40,Female,Low,1,171.2626583,N
50,51-60,Male,Low,7,1246.239758,N
50,51-60,Male,Medium,1,354.6951817,N
68,61+,Male,Low,10,3738.363983,Y
42,41-50,Male,Low,1,191.2814448,N
65,61+,Male,Low,1,155.8863582,N
57,51-60,Male,Medium,6,851.1899039,N
27,19-30,Male,High,1,246.1520185,N
41,41-50,Male,Low,3,62.14955018,N
56,51-60,Female,High,9,848.9892543,N
64,61+,Male,Medium,7,2965.291591,Y
39,31-40,Male,Medium,10,3002.684416,Y
68,61+,Female,Low,2,196.4411494,N
56,51-60,Female,Medium,9,1509.604068,Y
60,61+,Female,Low,1,180.1567737,N
48,41-50,Male,High,7,87.36641155,N
49,41-50,Male,Medium,5,1592.248294,Y
32,31-40,Female,Medium,3,1102.363437,N
32,31-40,Female,Low,5,310.817671,N
18,19-30,Male,Medium,2,721.2539773,N
48,41-50,Female,Medium,1,315.7222744,N
69,61+,Male,Medium,9,1649.080143,Y
48,41-50,Male,Medium,5,1457.164187,Y
68,61+,Male,Medium,8,3940.364268,Y
58,51-60,Male,Medium,6,2959.80909,Y
44,41-50,Female,Medium,2,914.5002158,N
60,61+,Male,Low,6,2281.815063,Y
33,31-40,Female,Low,2,100.8410816,N
26,19-30,Male,Low,3,874.2072614,N
60,61+,Female,Medium,4,492.0734736,N
37,31-40,Male,High,1,253.0541571,N
37,31-40,Male,Low,4,507.2779531,N
66,61+,Male,Medium,3,147.7544011,N
46,41-50,Male,High,6,1005.138159,N
29,19-30,Male,Medium,5,1592.773027,Y
38,31-40,Female,Medium,4,1964.7032,Y
39,31-40,Male,Low,5,970.6155948,N
54,51-60,Male,Medium,5,2010.577198,Y
51,51-60,Female,Low,10,4885.287161,Y
57,51-60,Female,Medium,5,2176.313523,Y
58,51-60,Male,Medium,5,710.3628978,N
46,41-50,Male,Medium,5,1128.857991,N
18,19-30,Male,Low,5,2175.5269,Y
46,41-50,Male,Low,2,649.8313353,N
70,61+,Female,Medium,8,2142.41653,Y
68,61+,Male,Medium,4,1199.721655,N
27,19-30,Female,Medium,2,336.035412,N
63,61+,Male,Medium,10,4850.773617,Y
55,51-60,Male,Medium,7,2768.589113,Y
37,31-40,Female,High,8,1570.596149,Y
26,19-30,Female,High,8,1791.993051,Y
39,31-40,Female,Medium,8,1124.786624,N
18,19-30,Male,Medium,4,996.9236037,N
64,61+,Male,Low,7,1454.907707,Y
41,41-50,Female,High,2,419.3169233,N
32,31-40,Female,Medium,5,943.6022746,N
46,41-50,Male,High,9,4115.631109,Y
57,51-60,Female,Low,5,1394.925424,Y
39,31-40,Male,Low,7,1763.602239,Y
48,41-50,Male,Medium,3,1300.668055,N
23,19-30,Female,Low,5,2369.506969,Y
36,31-40,Male,High,7,2520.643933,Y
50,51-60,Male,High,0,1251.102005,N
64,61+,Male,Medium,4,1619.290082,Y
60,61+,Male,Low,2,184.5908683,N
43,41-50,Female,Low,5,1411.570886,Y
59,51-60,Male,High,5,1637.884513,Y
40,41-50,Male,High,1,265.6643192,N
68,61+,Female,Medium,2,497.1829045,N
21,19-30,Male,Low,10,3366.440491,Y
70,61+,Male,Medium,9,1323.024915,N
47,41-50,Female,Medium,1,478.4058455,N
62,61+,Female,Low,4,1952.114695,Y
35,31-40,Male,Low,6,2147.909497,Y
40,41-50,Male,Medium,1,418.657921,N
20,19-30,Male,Low,5,1112.011535,N
55,51-60,Male,High,7,2279.497851,Y
36,31-40,Female,Medium,8,784.5466397,N
36,31-40,Male,Medium,9,408.823649,N
51,51-60,Male,Low,1,302.8717657,N
47,41-50,Male,Low,8,1857.336397,Y
67,61+,Male,Medium,5,1634.865417,Y
26,19-30,Male,Low,9,2277.90178,Y
39,31-40,Male,Low,2,979.6342094,N
51,51-60,Male,Low,4,1092.943877,N
56,51-60,Male,Medium,7,3418.601047,Y
34,31-40,Male,Medium,4,1216.314878,N
67,61+,Male,Medium,2,437.4766824,N
61,61+,Male,Medium,1,95.04799127,N
57,51-60,Female,Medium,4,1543.308968,Y
65,61+,Female,Medium,1,117.0364627,N
32,31-40,Male,Low,4,1374.869257,Y
51,51-60,Male,Medium,9,3766.244525,Y
52,51-60,Male,Low,4,811.2063698,N
36,31-40,Male,Low,7,2731.055212,Y
23,19-30,Male,Low,4,1138.676621,N
29,19-30,Male,Low,9,783.3701526,N
51,51-60,Female,Medium,3,1477.358627,Y
37,31-40,Male,Medium,5,1067.983587,N
36,31-40,Male,Low,2,112.7820232,N
70,61+,Male,Medium,10,3859.838665,Y
68,61+,Male,Medium,6,2950.354446,Y
35,31-40,Male,Medium,8,3125.987829,Y
44,41-50,Male,Medium,1,404.1337469,N
55,51-60,Female,Medium,2,72.59173495,N
59,51-60,Male,Medium,6,2933.959111,Y
64,61+,Female,Low,9,1641.68786,Y
21,19-30,Female,Low,8,2266.128006,Y
28,19-30,Female,Medium,10,285.5972361,N
65,61+,Male,High,2,624.6181745,N
43,41-50,Female,Medium,9,3245.923717,Y
59,51-60,Female,Medium,10,134.9779465,N
38,31-40,Female,Medium,9,1097.803621,N
32,31-40,Female,Medium,9,833.5126941,N
49,41-50,Female,Medium,5,2388.772817,Y
18,19-30,Male,Medium,5,804.0989235,N
23,19-30,Male,Medium,3,267.7091678,N
37,31-40,Male,Low,4,381.8248564,N
32,31-40,Male,Low,9,3011.532583,Y
35,31-40,Female,Low,1,426.1686042,N
0,0-18,Female,Low,10,321.1555907,N
30,31-40,Female,Low,1,397.1199649,N
45,41-50,Male,Low,2,912.4044965,N
70,61+,Male,High,10,3046.860183,Y
61,61+,Female,Medium,3,1061.451434,N
44,41-50,Male,Medium,10,868.494135,N
26,19-30,Male,Medium,2,750.3787875,N
70,61+,Male,Low,1,147.1582868,N
46,41-50,Male,Medium,4,919.6341013,N
52,51-60,Male,Medium,5,223.2261199,N
63,61+,Female,High,3,124.3352322,N
55,51-60,Male,Medium,1,190.3278983,N
23,19-30,Female,Medium,1,440.6478038,N
40,41-50,Female,Medium,10,1927.124359,Y
64,61+,Male,Medium,9,3870.925328,Y
45,41-50,Female,High,8,1173.510411,N
40,41-50,Female,High,7,867.0856842,N
23,19-30,Female,High,2,972.4313935,N
50,51-60,Male,Medium,8,3891.279014,Y
24,19-30,Male,High,1,79.97572337,N
18,19-30,Male,Medium,3,336.6788785,N
26,19-30,Female,Medium,5,833.3860814,N
64,61+,Female,Medium,7,1149.558218,N
47,41-50,Male,Low,7,2134.091379,Y
50,51-60,Female,Low,7,547.5338834,N
62,61+,Female,High,8,706.7831122,N
21,19-30,Female,Medium,7,264.0124537,N
35,31-40,Female,Medium,10,1015.35408,N
68,61+,Male,Low,8,158.5758147,N
43,41-50,Female,Low,5,772.2662756,N
69,61+,Female,Medium,7,1560.391794,Y
61,61+,Male,Low,6,82.33816737,N
40,41-50,Male,Medium,1,357.6780371,N
33,31-40,Male,High,2,902.8925842,N
37,31-40,Male,High,8,252.5201196,N
52,51-60,Male,Medium,1,447.5789312,N
36,31-40,Male,Medium,3,1374.529198,Y
21,19-30,Male,Low,10,3705.443899,Y
28,19-30,Male,Medium,3,129.2132927,N
58,51-60,Male,Low,7,3197.733235,Y
21,19-30,Male,Low,10,605.5796922,N
67,61+,Male,High,3,1238.271121,N
31,31-40,Female,Medium,2,686.1281526,N
44,41-50,Male,High,10,3380.450513,Y
53,51-60,Female,Low,2,244.7537902,N
60,61+,Male,Low,4,1117.376464,N
28,19-30,Male,Medium,6,2429.119557,Y
28,19-30,Male,Medium,9,3972.923994,Y
26,19-30,Male,Low,2,599.1636915,N
20,19-30,Male,Medium,2,681.8185561,N
55,51-60,Male,High,7,2464.903248,Y
44,41-50,Male,Medium,6,1859.063994,Y
36,31-40,Male,Low,3,1417.879376,Y
38,31-40,Male,Medium,5,2356.58681,Y
54,51-60,Male,Medium,4,1779.601408,Y
43,41-50,Female,Low,3,750.6509715,N
48,41-50,Female,Low,6,1688.86317,Y
67,61+,Male,High,5,1555.387334,Y
60,61+,Male,Medium,9,3843.363894,Y
53,51-60,Female,Medium,5,1030.445306,N
41,41-50,Male,High,6,136.4506071,N
20,19-30,Male,Medium,1,250.6921799,N
46,41-50,Male,Low,9,257.0502711,N
32,31-40,Male,Low,3,96.89222754,N
48,41-50,Male,Medium,1,61.88875778,N
61,61+,Male,Low,1,195.6408058,N
24,19-30,Male,Medium,7,1833.081545,Y
29,19-30,Male,High,6,2749.197338,Y
31,31-40,Male,Medium,6,2848.795564,Y
44,41-50,Female,Low,7,2862.383856,Y
19,19-30,Male,Medium,2,634.0031868,N
22,19-30,Male,Low,7,694.3795217,N
39,31-40,Male,Low,9,1849.725392,Y
65,61+,Female,High,10,1421.11214,Y
23,19-30,Female,Low,6,2088.018652,Y
43,41-50,Male,Medium,1,41.75067581,N
67,61+,Male,Medium,5,2363.991747,Y
20,19-30,Female,Low,3,1091.381919,N
43,41-50,Female,Low,1,474.6467225,N
58,51-60,Female,Low,5,2057.177771,Y
36,31-40,Male,Medium,8,3024.720644,Y
21,19-30,Female,Medium,1,213.6794234,N
50,51-60,Male,Medium,9,260.3619575,N
59,51-60,Male,Low,5,1013.576978,N
62,61+,Male,Low,10,329.7593815,N
61,61+,Male,Medium,1,33.55364274,N
67,61+,Female,High,2,349.9479029,N
63,61+,Male,Medium,10,3626.219196,Y
61,61+,Male,Low,1,145.054612,N
64,61+,Female,Low,10,1024.032281,N
25,19-30,Male,Low,2,497.9498282,N
52,51-60,Female,Medium,2,516.8376456,N
62,61+,Male,Medium,5,1086.534658,N
47,41-50,Male,Low,6,1035.064509,N
49,41-50,Male,Low,7,1623.455926,Y
69,61+,Male,Medium,1,437.0575522,N
49,41-50,Male,Medium,9,3634.536358,Y
21,19-30,Male,Medium,8,2897.245074,Y
70,61+,Female,Low,6,762.0305509,N
22,19-30,Female,Low,7,2545.948477,Y
36,31-40,Female,Low,7,2439.452576,Y
31,31-40,Male,Low,10,3379.589089,Y
43,41-50,Female,Low,2,287.2443578,N
50,51-60,Male,Medium,9,4037.303414,Y
34,31-40,Male,Medium,3,228.1729526,N
54,51-60,Male,Low,4,826.5730701,N
24,19-30,Female,High,2,81.22259476,N
54,51-60,Male,Medium,5,490.1687416,N
22,19-30,Male,Medium,6,2672.859729,Y
44,41-50,Male,Low,4,856.9762823,N
27,19-30,Female,High,7,1482.236444,Y
25,19-30,Female,Medium,10,4024.47457,Y
67,61+,Male,Low,7,382.6148512,N
18,19-30,Male,Low,1,207.0866948,N
22,19-30,Male,Low,2,563.2292058,N
25,19-30,Male,Medium,2,437.5499102,N
30,31-40,Male,High,10,4249.348227,Y
67,61+,Male,High,1,52.37746408,N
19,19-30,Female,Low,5,1429.547389,Y
63,61+,Male,Medium,9,407.8646932,N
30,31-40,Male,High,3,1326.605196,N
70,61+,Female,Low,6,457.6598392,N
37,31-40,Male,Medium,2,262.4050132,N
34,31-40,Female,Medium,4,811.6412059,N
60,61+,Male,Medium,2,731.6106587,N
39,31-40,Male,Medium,4,1437.819239,Y
20,19-30,Male,Low,4,1138.557589,N
57,51-60,Male,Medium,7,2895.267678,Y
29,19-30,Female,Medium,7,1373.526006,Y
44,41-50,Male,Low,5,1168.057286,N
34,31-40,Male,Medium,1,297.0778693,N
23,19-30,Female,High,1,179.7135684,N
35,31-40,Male,Medium,1,481.2579413,N
20,19-30,Male,Low,1,196.9273522,N
24,19-30,Male,Low,9,4229.112217,Y
30,31-40,Male,Medium,3,689.3836855,N
19,19-30,Female,Medium,3,1193.077918,N
60,61+,Male,Low,7,2716.926323,Y
28,19-30,Male,Medium,7,1809.06649,Y
44,41-50,Female,Medium,7,3089.134525,Y
67,61+,Male,Low,3,951.3868225,N
41,41-50,Male,High,7,725.0511643,N
41,41-50,Male,High,8,1923.778058,Y
36,31-40,Female,Medium,7,2485.632058,Y
51,51-60,Female,Low,9,4267.605699,Y
46,41-50,Male,Low,2,181.3105225,N
36,31-40,Male,Low,8,3980.255451,Y
53,51-60,Male,Low,7,2583.331876,Y
66,61+,Male,Medium,1,292.2456891,N
61,61+,Male,Medium,1,428.0598112,N
47,41-50,Male,Medium,6,2231.935958,Y
40,41-50,Female,Low,4,1552.848999,Y
31,31-40,Female,Medium,6,741.7013791,N
28,19-30,Female,Medium,6,1226.410413,N
48,41-50,Male,High,4,781.099782,N
40,41-50,Male,Low,2,317.5834067,N
40,41-50,Male,Low,9,1336.223524,N
48,41-50,,Medium,9,1435.563936,Y
37,31-40,Male,Medium,6,2806.618644,Y
19,19-30,Female,Low,2,152.8864006,N
29,19-30,Male,High,2,608.6149876,N
53,51-60,Female,Medium,6,1719.544883,Y
29,19-30,Male,Medium,7,1734.382366,Y
23,19-30,Male,Low,10,4487.12769,Y
36,31-40,Male,Medium,5,838.3701078,N
55,51-60,Male,Medium,4,1110.118649,N
62,61+,Male,Medium,10,1556.339316,Y
37,31-40,Female,Medium,8,1704.87276,Y
22,19-30,Female,Low,10,4518.677874,Y
19,19-30,Male,Medium,5,311.5925805,N
54,51-60,Male,Medium,6,1488.475083,Y
27,19-30,Female,Medium,1,18.16284801,N
38,31-40,Female,Medium,6,2860.5763,Y
19,19-30,Male,Medium,5,2204.256073,Y
66,61+,Female,Medium,9,4336.91768,Y
69,61+,Female,High,3,603.1134243,N
51,51-60,Male,Low,2,570.6821954,N
48,41-50,Male,Low,2,966.3542074,N
32,31-40,Male,High,2,198.0047819,N
55,51-60,Female,Low,1,55.7131033,N
25,19-30,Male,Low,5,1731.128973,Y
22,19-30,Female,Low,2,706.5459608,N
21,19-30,Male,High,2,612.8230476,N
27,19-30,Female,Medium,7,208.2978395,N
51,51-60,Male,Low,10,3528.318542,Y
47,41-50,Male,Medium,6,635.2179339,N
61,61+,Male,Medium,10,3612.688358,Y
54,51-60,Male,Low,1,13.5067631,N
61,61+,Female,High,7,2887.573279,Y
37,31-40,Female,High,2,867.0929346,N
40,41-50,Female,Low,10,1573.436966,Y
21,19-30,Female,Low,2,507.1276567,N
28,19-30,Male,Low,3,1304.408579,N
26,19-30,Male,Medium,5,814.8686308,N
30,31-40,Female,Medium,6,2873.9913,Y
48,41-50,Male,High,10,2218.519968,Y
23,19-30,Female,Low,8,191.5900295,N
62,61+,Female,Medium,3,229.1496305,N
53,51-60,Female,Medium,5,2409.295889,Y
25,19-30,Female,High,8,3624.186373,Y
68,61+,Male,Medium,8,318.8248876,N
50,51-60,Female,High,5,136.2176281,N
52,51-60,Male,Low,4,221.7766874,N
18,19-30,Male,Low,1,158.4289608,N
31,31-40,Male,Low,8,135.8165645,N
62,61+,Male,Low,5,324.0121639,N
40,41-50,Female,Low,2,408.1990769,N
37,31-40,Female,Low,4,1056.948418,N
53,51-60,Male,High,4,1239.854553,N
38,31-40,Male,Medium,10,4356.825759,Y
55,51-60,Male,High,1,195.8041139,N
37,31-40,Male,High,4,1117.976138,N
32,31-40,Female,Low,8,1429.31715,Y
52,51-60,Female,Medium,3,663.2231315,N
45,41-50,Male,Low,9,3981.91439,Y
56,51-60,Male,Low,7,1597.499542,Y
40,41-50,Male,High,7,1706.857477,Y
27,19-30,Female,Medium,8,1280.696418,N
64,61+,Female,Medium,6,2146.034353,Y
19,19-30,Male,Low,1,74.8957717,N
53,51-60,Male,High,1,135.413608,N
52,51-60,Male,Medium,1,431.1162034,N
57,51-60,Female,Low,4,1559.42961,Y
54,51-60,Female,Low,1,436.0545554,N
19,19-30,Female,Medium,1,226.807244,N
32,31-40,Male,Low,6,1994.568987,Y
70,61+,Male,Medium,4,66.68805109,N
35,31-40,Male,Low,1,118.5741697,N
59,51-60,Female,Low,7,1685.39122,Y
63,61+,Male,Medium,5,1839.918296,Y
35,31-40,Female,Medium,3,593.905252,N
55,51-60,Male,Low,1,331.8392282,N
66,61+,Male,Low,8,596.1064977,N
22,19-30,Male,Low,6,1100.73912,N
28,19-30,Male,Low,5,1197.739817,N
23,19-30,Female,High,6,1641.353516,Y
64,61+,Male,Medium,3,1405.725551,Y
70,61+,Female,Low,4,483.8922451,N
67,61+,Male,High,1,162.8656439,N
69,61+,Male,High,9,532.6694684,N
54,51-60,Female,Low,7,1200.623744,N
47,41-50,Female,Low,5,2163.94041,Y
30,31-40,Female,Low,6,2836.930343,Y
65,61+,Female,Medium,8,1489.520532,Y
47,41-50,Female,Medium,10,2079.377672,Y
61,61+,Male,High,6,565.3120197,N
52,51-60,Female,Medium,9,3943.048189,Y
44,41-50,Male,High,5,1886.796345,Y
23,19-30,Female,Medium,3,687.9681038,N
43,41-50,Female,Medium,2,389.3370816,N
65,61+,Female,Low,6,1389.083067,Y
40,41-50,Male,Medium,2,254.3100441,N
46,41-50,Male,Medium,10,4755.346608,Y
64,61+,Male,Low,7,1031.856981,N
63,61+,Female,Medium,5,2490.085117,Y
53,51-60,Male,High,3,1437.359599,Y
23,19-30,Male,High,9,2566.518616,Y
25,19-30,Male,High,5,625.0570345,N
31,31-40,Female,High,3,1022.225528,N
18,19-30,Female,High,3,1393.367034,Y
66,61+,Male,High,9,603.5063339,N
29,19-30,Male,High,8,3475.867355,Y
59,51-60,Male,High,10,4667.216035,Y
34,31-40,Male,High,4,1527.161064,Y
36,31-40,Male,High,5,56.06408522,N
50,51-60,Female,High,10,2651.970086,Y
29,19-30,Male,High,8,2495.153225,Y
22,19-30,Male,High,1,132.8698113,N
37,31-40,Female,High,8,1955.405027,Y
70,61+,Male,High,3,997.9801928,N
41,41-50,Female,High,5,231.4595555,N
57,51-60,Male,High,4,225.5164573,N
33,31-40,Female,High,9,1491.776662,Y
49,41-50,Female,High,3,614.0423449,N
26,19-30,Female,High,6,2062.613391,Y
37,31-40,Male,High,2,28.9381013,N
51,51-60,Male,High,4,1232.793317,N
34,31-40,Female,High,7,2087.668461,Y
49,41-50,Female,High,10,1340.42491,N
56,51-60,Female,High,10,2987.771924,Y
33,31-40,Male,High,10,140.2323893,N
39,31-40,Female,High,6,2413.054432,Y
27,19-30,Male,High,9,1962.347467,Y
44,41-50,Male,High,5,1369.334919,Y
41,41-50,Male,High,4,1739.523003,Y
26,19-30,Male,High,5,167.687367,N
33,31-40,Male,High,4,1224.246109,N
43,41-50,Male,High,6,1085.623567,N
38,31-40,Female,High,3,56.0038371,N
57,51-60,Male,High,1,467.3492735,N
62,61+,Male,High,4,512.2421353,N
55,51-60,Female,High,6,1186.763792,N
49,41-50,Male,High,1,29.64751357,N
24,19-30,Male,High,9,2321.743519,Y
60,61+,Female,High,8,1966.122307,Y
69,61+,Female,High,1,210.7985736,N
56,51-60,Male,High,10,353.7199132,N
34,31-40,Male,High,6,2511.926786,Y
64,61+,Male,High,6,2450.833233,Y
19,19-30,Female,High,1,397.2568034,N
46,41-50,Male,High,8,176.4832186,N
33,31-40,Female,High,8,3159.820403,Y
57,51-60,Male,High,7,2571.744293,Y
47,41-50,Male,High,6,1397.272729,Y
34,31-40,Female,High,4,764.5286309,N
44,41-50,Male,High,7,3120.580956,Y
18,19-30,Male,High,4,1264.870986,N
51,51-60,Male,High,4,1467.592534,Y
59,51-60,Male,High,7,540.0935852,N
56,51-60,Male,High,7,1472.823191,Y
58,51-60,Female,High,3,486.0992358,N
48,41-50,Female,High,6,296.9401099,N
51,51-60,Male,High,7,1353.586416,N
25,19-30,Male,High,4,1723.522105,Y
70,61+,Male,High,5,1949.217268,Y
38,31-40,Female,High,3,747.984367,N
48,41-50,Male,High,5,1435.364453,Y
40,41-50,Male,High,4,792.8833611,N
64,61+,Female,High,4,1498.904083,Y
56,51-60,Female,High,5,1240.748655,N
62,61+,Male,High,2,498.7159341,N
22,19-30,Female,High,5,1151.274652,N
33,31-40,Female,High,6,1061.579186,N
23,19-30,Male,High,5,1906.200866,Y
18,19-30,Female,High,2,872.2054441,N
38,31-40,Male,High,6,2393.641549,Y
48,41-50,Female,High,1,200.5243056,N
46,41-50,Male,High,7,2415.948509,Y
28,19-30,Female,High,10,2989.266394,Y
60,61+,Female,High,6,2820.085409,Y
36,31-40,Male,High,1,277.9056626,N
31,31-40,Female,High,1,384.3544251,N
53,51-60,Female,High,10,582.5560884,N
36,31-40,Male,High,9,3069.135598,Y
18,19-30,Male,High,1,327.7854485,N
23,19-30,Female,High,7,2844.542076,Y
33,31-40,Male,High,8,1998.882144,Y
69,61+,Female,High,3,267.2138643,N
66,61+,Male,High,2,652.6518668,N
46,41-50,Male,High,3,493.046548,N
45,41-50,Female,High,6,2954.296723,Y
23,19-30,Female,High,3,1203.133917,N
18,19-30,Female,High,4,1166.870305,N
0,0-18,Female,High,9,1901.339367,Y
66,61+,Female,High,8,1063.648758,N
29,19-30,Male,High,6,1624.445778,Y
23,19-30,Female,High,8,3483.963154,Y
20,19-30,Male,High,2,510.6183842,N
48,41-50,Male,High,6,2425.797432,Y
61,61+,Male,High,10,2425.296985,Y
48,41-50,Male,High,4,1890.5223836,Y
26,19-30,Male,High,7,2462.740876,Y
27,19-30,Female,High,3,1178.300198,N
28,19-30,Female,High,4,286.7358104,N
25,19-30,Female,High,3,1400.99378,Y
21,19-30,Female,High,3,333.3219009,N
59,51-60,Male,High,5,418.8613727,N
63,61+,Female,High,7,856.5585104,N
40,41-50,Male,High,3,1378.624931,Y
59,51-60,Female,High,2,524.7817257,N
42,41-50,Female,High,6,2774.936343,Y
28,19-30,Female,High,3,39.37869995,N
19,19-30,Female,High,1,139.5406331,N
63,61+,Male,High,7,2856.73518,Y
35,31-40,Female,High,4,1392.563416,Y
46,41-50,Male,High,7,3236.455298,Y
37,31-40,Male,High,2,509.5203403,N
42,41-50,Female,High,10,2832.975069,Y
31,31-40,Male,High,6,1355.621251,N
19,19-30,Male,High,1,161.0206319,N
45,41-50,Male,High,10,1660.549606,Y
49,41-50,Male,High,6,436.0305624,N
51,51-60,Male,High,6,2597.356623,Y
65,61+,Female,High,7,2538.394982,Y
45,41-50,Male,High,9,1287.464288,N
66,61+,Male,High,6,2965.376312,Y
48,41-50,Male,High,4,1417.410089,Y
58,51-60,Male,High,3,1447.213747,Y
66,61+,Female,High,7,1382.041127,Y
65,61+,Male,High,5,502.0363421,N
64,61+,Male,High,4,1937.305624,Y
45,41-50,Female,High,4,242.2590215,N
54,51-60,Male,High,5,249.3853634,N
58,51-60,Male,High,10,4224.969267,Y
33,31-40,Female,High,7,582.4416615,N
40,41-50,Female,High,8,1145.272979,N
48,41-50,Male,High,10,738.5237246,N
66,61+,Male,High,8,2345.42616,Y
47,41-50,Male,High,2,692.4657096,N
24,19-30,Male,High,10,942.5491323,N
48,41-50,Male,High,1,479.2814998,N
63,61+,Male,High,10,582.1724298,N
19,19-30,Male,High,4,1988.094727,Y
59,51-60,Male,High,10,263.9055141,N
43,41-50,Male,High,2,567.1389769,N
63,61+,Female,High,1,202.6190743,N
